Midnights,,8.38,Utopia,,8.63,Pink Tape,,6.99,Her Loss,,9.53,808s & Heartbreak,,7.00
,,,,,,,,,,,,,,
Lavender Haze,11,,HYEANA,11,,Flooded The Face,6.5,,Rich Flex,9.25,,Say You Will,9,
Maroon,10,,THANK GOD,8.5,,Suicide Doors,6.75,,Major Distribution,10,,Welcome to Heartbreak,8,
Anti-Hero,10,,MODERN JAM,4.5,,Aye (ft. Travis),7,,On BS,10,,Heartless,8,
Snow On The Beach,8.5,,MY EYES,8,,Crush Em,7.75,,BackOutsideBoyz,9,,Amazing,7,
"You're On Your Own, Kid",9,,GOD'S COUNTRY,7,,Amped,3.5,,Privilaged Rappers,10,,Love Lockdown,3,
Midnight Rain,7,,SIRENS,8.5,,x2,7.5,,Spin Bout U,10,,Paranoid,10,
Question...?,7,,MELTDOWN,9.5,,Died and Came Back,10,,Hours In Silence,8.75,,RoboCop,5,
Vigilante S*,5.5,,FE!N,9.5,,Spin Again,9.25,,Treacherous Twins,12,,Street Lights,10,
Bejeweled,10,,DELRESTO (ECHOES),6.5,,That Fiya,5.25,,Circo Loco,7.25,,Bad News,7,
Labyrinth,6,,I KNOW ?,8.5,,I Gotta,6.25,,Ps & Millions,10,,See You In My Nightmares,6,
Karma,10,,TOPIA TWINS (21 Carry),10,,Endless Fashion (Nicki M),8.75,,Broke Boys,9,,Coldest Winter,10,
Sweet Nothing,6,,CIRCUS MAXIMUS,9.5,,"Mamá, I'm Sorry",9,,Middle of the Ocean,7.75,,Pinocchio Story,1,
Mastermind,9,,PARASAIL,9.5,,All Alone,7.75,,Jumbotron St Poppin,10,,The C and the S,,8.64
Graduation,,9.57,SKITZO,10,,Nakamura,2.75,,More M's,10,,,,
,,,LOST FOREVER,5,,Just Wanna Rock,9,,3AM on Glenwood,9.5,,Doll,8,
Good Morning,10,,LOOOVE,8.5,,Fire Alarm,7.25,,I Guess It's F Me,10,,Monkey Wrench,7,
Champion,11,,K-POP (Features Carried),10,,CS,3.25,,Whole Lotta Red,,8.42,"Hey, Johnny Park!",8.25,
Stronger,9,,TELEKINESIS (SZA Carry),10,,Werewolf (BmttH),10,,,,,My Poor Brain,6.75,
I Wonder,11,,TIL FURTHER NOTICE,10,,Pluto to Mars,8.5,,Rockstar Made,6.5,,Wind Up,9.5,
Good Life,10,,Flower Boy,,8.86,Patience (Don T),9.25,,Go2DaMoon,8,,Up in Arms,10,
Can't Tell Me Nothing,9,,,,,Days Come and Go,8.25,,Stop Breathing,6,,My Hero,11,
Barry Bonds,7,,Foreword,10,,Rehab,6.25,,Beno!,10,,See You,8.5,
Drunk and Hot Girls,7,,Where the Flower Blooms,11,,The End (Bby Metal),10,,JumpOutTheHouse,8,,Enough Space,8,
